Count,lambda,t,A,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60
14,7,0.2,1.1,-0.57358403,-0.604910523,-0.613205751,-0.614736541,-0.615151688,-0.615857143,-0.616857143,-0.618035714,-0.619206349,-0.620375396,-0.621581613,-0.62297307,-0.6242335,-0.625538254,-0.626952381,-0.62826281,-0.629848739,-0.631365079,-0.632932331,-0.634542857,-0.636217687,-0.637961039,-0.639751553,-0.641554577,-0.643492172,-0.645500494,-0.647550524,-0.649790838,-0.652128079,-0.65447619,0.00739,0.015312286,0.023341429,0.031637143,0.040231429,0.049134286,0.058377143,0.06798,0.077971429,0.088385714,0.099248571,0.1106,0.122482857,0.13494,0.148025714,0.1618,0.176328571,0.191685714,0.20796,0.225251429,0.243671429,0.263354286,0.284457143,0.307171429,0.331685714,0.358285714,0.387257143,0.419028571,0.454,0.4928
15,11,0.6,0.2,-0.137570467,-0.105809091,-0.082423177,-0.064925678,-0.051420052,-0.040880027,-0.032469219,-0.025660257,-0.020000808,-0.015290909,-0.011289256,-0.007863636,-0.004909091,-0.002324675,-4.85E-05,0.001954545,0.00373262,0.005354076,0.006823619,0.007955269,0.008779981,0.009240433,0.009486916,0.009674975,0.009834158,0.009986712,0.010175769,0.010416261,0.010658975,0.010910413,1.913818182,4.032363636,6.257090909,8.53,10.82290909,13.11672727,15.40218182,17.674,19.92909091,22.16545455,24.38181818,26.58,28.75454545,30.90909091,33.04363636,35.15636364,37.24909091,39.31454545,41.24181818,43.01090909,44.54545455,45.83454545,46.78727273,47.50727273,48.12,48.64545455,49.18545455,49.70909091,50.22181818,50.72363636
16,21,1.1,0.6,-0.317260861,-0.276283211,-0.238446399,-0.205637961,-0.178209524,-0.155206349,-0.136136054,-0.12022619,-0.106835979,-0.095466667,-0.085722944,-0.077285714,-0.069934066,-0.063451466,-0.05777411,-0.052734956,-0.048120553,-0.044021164,-0.040298732,-0.037047619,-0.034331066,-0.031904762,-0.02981243,-0.028054442,-0.026398994,-0.024797626,-0.023315697,-0.021870004,-0.02045977,-0.019078759,1.271333333,2.830952381,4.614285714,6.555333333,8.59047619,10.68095238,12.79619048,14.92,17.04285714,19.15714286,21.26,23.34761905,25.42,27.4752381,29.51142857,31.53047619,33.53047619,35.47904762,37.33619048,39.05809524,40.63809524,42.0752381,43.30952381,44.31428571,45.13809524,45.82380952,46.41142857,46.96190476,47.44380952,47.92285714
17,17,0.2,1.1,-0.603570296,-0.655989784,-0.6778412,-0.695076851,-0.711985794,-0.729492555,-0.748926411,-0.766837695,-0.751803922,-0.7002,-0.645850267,-0.596921569,-0.553809955,-0.515857143,-0.482512157,-0.453069118,-0.426900346,-0.40351634,-0.382519041,-0.363533149,-0.346327525,-0.330573827,-0.316210548,-0.30302956,-0.290898395,-0.279650663,-0.269162055,-0.259170553,-0.249837715,-0.241391482,0.004710706,0.010967294,0.01876,0.028996471,0.043594118,0.066722353,0.110588235,0.224376471,0.536211765,0.980941176,1.447647059,1.915411765,2.380117647,2.840941176,3.297411765,3.749529412,4.197058824,4.640235294,5.078941176,5.513176471,5.943176471,6.368823529,6.790235294,7.207529412,7.620705882,8.029764706,8.434588235,8.832823529,9.178941176,9.421882353
19,20,1.9,1.1,-0.364319888,-0.3538175,-0.340844667,-0.32756,-0.314256,-0.301041667,-0.287992857,-0.275215,-0.262786667,-0.250768,-0.2392,-0.228116667,-0.217546154,-0.207485714,-0.198033333,-0.18924375,-0.180970588,-0.173288889,-0.166105263,-0.15945,-0.153142857,-0.147175128,-0.141428634,-0.136208333,-0.131354746,-0.126730769,-0.122444444,-0.118392857,-0.114478811,-0.110662978,1.98,4.1111,6.3778,8.7832,11.322,13.987,16.768,19.654,22.633,25.693,28.819,32.002,35.23,38.494,41.709,44.846,47.965,50.97,53.893,56.715,59.404,62.006,64.52,66.891,69.143,71.325,73.349,75.17,76.897,78.534
21,14,1.6,2.1,-0.581415676,-0.590119226,-0.590169395,-0.589350084,-0.588651875,-0.587888162,-0.587069141,-0.586257362,-0.585326777,-0.584408909,-0.583361454,-0.582355741,-0.581252059,-0.580053029,-0.578821626,-0.577529895,-0.576163279,-0.574672801,-0.57314947,-0.571507104,-0.569817094,-0.568040501,-0.566103799,-0.564052832,-0.561977382,-0.559628775,-0.556701042,-0.553507752,-0.550253607,-0.546953251,0.489628571,0.997,1.516285714,2.050571429,2.600285714,3.166285714,3.749428571,4.350285714,4.969857143,5.609142857,6.269,6.950428571,7.654428571,8.382142857,9.134857143,9.913571429,10.71971429,11.55457143,12.41942857,13.31585714,14.245,15.20857143,16.20857143,17.24571429,18.32,19.42,20.49571429,21.58857143,22.70428571,23.85
24,14,0.2,1.8,-0.466903915,-0.546167388,-0.584149285,-0.605208258,-0.620395302,-0.631025208,-0.637582252,-0.640830511,-0.64207607,-0.642178133,-0.642248767,-0.643158271,-0.644881803,-0.647508679,-0.650857633,-0.654542206,-0.658422999,-0.662427562,-0.666481161,-0.670629421,-0.675117371,-0.679931155,-0.685344185,-0.692152894,-0.699262689,-0.707254891,-0.716302482,-0.726532299,-0.737466745,-0.745692652,0.001342743,0.003279429,0.005213143,0.007109286,0.009095571,0.0112,0.013436286,0.015781429,0.018335714,0.021114286,0.024081429,0.027282857,0.030757143,0.034547143,0.038707143,0.043307143,0.048432857,0.054197143,0.060748571,0.068281429,0.077071429,0.087504286,0.100162857,0.115102857,0.135067143,0.161985714,0.200657143,0.261328571,0.368085714,0.570128571
25,7,1.5,0.9,-0.366351618,-0.363526053,-0.360331208,-0.357106146,-0.353865921,-0.3505996,-0.347373144,-0.344132343,-0.340875635,-0.337649914,-0.334432358,-0.331131627,-0.327926899,-0.324796541,-0.321756757,-0.318948777,-0.316129683,-0.313322755,-0.310538103,-0.307892332,-0.305335237,-0.302883292,-0.300428359,-0.2980401,-0.295611492,-0.293181019,-0.290765894,-0.288343364,-0.286002364,-0.283583198,3.904857143,7.857142857,11.85228571,15.89057143,19.97114286,24.09342857,28.256,32.45714286,36.7,40.97714286,45.29428571,49.64285714,54.02285714,58.21142857,62.17428571,66.09142857,69.95714286,73.82,77.60571429,81.13428571,84.60285714,87.99142857,91.25428571,94.44285714,97.43714286,100.3371429,103.1914286,105.9914286,108.7571429,111.3714286
28,18,0.8,2.1,-0.582443613,-0.617109079,-0.628565079,-0.631773262,-0.632589137,-0.633240741,-0.634222222,-0.635671621,-0.637140388,-0.638511111,-0.639939394,-0.64137037,-0.642837607,-0.64418254,-0.645592593,-0.6468125,-0.648048892,-0.649015371,-0.649812855,-0.650198667,-0.650215355,-0.649618668,-0.648280027,-0.645939439,-0.642412659,-0.637481836,-0.631109556,-0.623278702,-0.614161462,-0.603966814,0.057441111,0.121288889,0.187211111,0.256966667,0.331266667,0.410633333,0.495633333,0.586955556,0.685422222,0.792,0.907844444,1.034355556,1.173222222,1.326444444,1.496555556,1.686555556,1.900111111,2.142,2.417888889,2.734777778,3.101333333,3.527444444,4.024888889,4.605555556,5.280888889,6.059444444,6.942777778,7.926888889,9.001222222,10.15133333
29,15,1.6,1.4,-0.515809854,-0.515508734,-0.511316561,-0.506617328,-0.501626753,-0.496455319,-0.491028571,-0.485383333,-0.479552526,-0.473423123,-0.467050552,-0.460434493,-0.453624987,-0.446606343,-0.439399947,-0.432043504,-0.424529338,-0.416743221,-0.408905888,-0.401120075,-0.393401918,-0.385615566,-0.377888573,-0.370326703,-0.362838703,-0.355392584,-0.348115956,-0.341043959,-0.334049207,-0.327043606,1.164466667,2.391333333,3.6752,5.0224,6.435866667,7.918933333,9.4744,11.1052,12.81386667,14.60266667,16.47333333,18.42666667,20.46533333,22.58666667,24.792,27.07866667,29.41866667,31.71466667,34.01866667,36.37066667,38.76,41.09733333,43.43066667,45.76933333,48.12133333,50.38933333,52.64933333,54.86533333,57.08133333,59.28
